title,genre,cast,director,story_tags,mood_tag,goal_tag,poster_url
Behind Enemy Lines,Action | Drama | Thriller | War,Owen Wilson | Gene Hackman | Gabriel Macht | Charles Malik Whitfield | David Keith,John Moore,"While flying a routine reconnaissance mission over Bosnia, fighter pilot Chris Burnett photographs something he wasn't supposed to see and gets shot down behind enemy lines, where he must outrun an army led by a ruthless Serbian general. With time running out and a deadly tracker on his trail, Burnett's commanding officer decides to risk his career and launch a renegade rescue mission to save his life.",excited,general,
Get Him to the Greek,Comedy,Jonah Hill | Russell Brand | Rose Byrne | Elisabeth Moss | Colm Meaney,Nicholas Stoller,"Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.",neutral,general,http://www.gethimtothegreek.net/
Shall We Dance?,Drama | Romance | Comedy,Richard Gere | Jennifer Lopez | Susan Sarandon | Lisa Ann Walter | Stanley Tucci,Peter Chelsom,"Upon first sight of a beautiful instructor, a bored and overworked estate lawyer signs up for ballroom dancing lessons.",neutral,general,http://www.miramax.com/shallwedance/
Small Soldiers,Comedy | Adventure | Fantasy | Science Fiction | Action,Gregory Smith | Kirsten Dunst | Denis Leary | Phil Hartman | David Cross,Joe Dante,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",excited,general,
Spawn,Action | Adventure | Fantasy | Horror | Science Fiction | Thriller,Michael Jai White | Martin Sheen | John Leguizamo | Theresa Randle | Nicol Williamson,Mark A.Z. Dippé,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons (Michael Jai White) makes a pact with the devil to be resurrected to see his beloved wife Wanda (Theresa Randle). In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",happy,relationships,
The Count of Monte Cristo,Action | Adventure | Drama | Thriller,Jim Caviezel | Guy Pearce | Richard Harris | James Frain | Dagmara Domińczyk,Kevin Reynolds,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",sad,entertainment,
The Lincoln Lawyer,Crime | Drama | Thriller,Matthew McConaughey | Marisa Tomei | Ryan Phillippe | William H. Macy | Josh Lucas,Brad Furman,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,neutral,general,http://www.thelincolnlawyermovie.com/
Unknown,Action | Mystery | Thriller,Liam Neeson | Diane Kruger | January Jones | Aidan Quinn | Bruno Ganz,Jaume Collet-Serra,"An American biologist attending a conference in Berlin awakens from a coma after a car accident, only to discover that someone has taken his identity and that no one, not even his wife, believes him. With the help of an illegal immigrant and a former Stazi agent, he sets out to prove who he is and find out why people are trying to kill him.",neutral,general,http://unknownmovie.warnerbros.com/
The Prestige,Drama | Mystery | Thriller,Hugh Jackman | Christian Bale | Michael Caine | Scarlett Johansson | Andy Serkis,Christopher Nolan,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",excited,entertainment,http://wwws.warnerbros.de/theprestige/
Horrible Bosses 2,Comedy,Jason Bateman | Jason Sudeikis | Charlie Day | Jennifer Aniston | Kevin Spacey,Sean Anders,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",neutral,general,
Escape from Planet Earth,Animation | Comedy | Adventure | Family | Science Fiction,Brendan Fraser | Rob Corddry | Ricky Gervais | Jessica Alba | Sarah Jessica Parker,Callan Brunker,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,neutral,general,http://www.escapeearthmovie.com/
Apocalypto,Action | Adventure | Drama | Thriller,Rudy Youngblood | Raoul Max Trujillo | Gerardo Taracena | Iazua Larios | Antonio Monroy,Mel Gibson,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",happy,relationships,
The Living Daylights,Action | Adventure | Thriller,Timothy Dalton | Maryam d'Abo | Jeroen Krabbé | Joe Don Baker | John Rhys-Davies,John Glen,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,neutral,entertainment,http://www.mgm.com/view/movie/1132/The-Living-Daylights/
Predators,Action | Science Fiction | Adventure | Thriller,Topher Grace | Alice Braga | Laurence Fishburne | Adrien Brody | Danny Trejo,Nimród Antal,"A mercenary reluctantly leads a motley crew of warriors who soon come to realize they've been captured and deposited on an alien planet by an unknown nemesis. With the exception of a peculiar physician, they are all cold-blooded killers, convicts, death squad members... hunters who have now become the hunted.",sad,general,
Legal Eagles,Comedy | Crime | Drama | Romance | Thriller,Robert Redford | Debra Winger | Daryl Hannah | Brian Dennehy | Terence Stamp,Ivan Reitman,"District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge.",sad,general,
Secret Window,Thriller | Mystery,Johnny Depp | John Turturro | Timothy Hutton | Charles S. Dutton | Len Cariou,David Koepp,"Mort Rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence, he begins to question his own sanity.",neutral,general,
The Lake House,Romance | Drama | Mystery,Keanu Reeves | Sandra Bullock | Shohreh Aghdashloo | Christopher Plummer | Ebon Moss-Bachrach,Alejandro Agresti,"A lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.",happy,relationships,http://wwws.warnerbros.de/thelakehouse/
The Skeleton Key,Drama | Horror | Mystery | Thriller,Kate Hudson | Gena Rowlands | Peter Sarsgaard | John Hurt | Joy Bryant,Iain Softley,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,sad,general,
The Odd Life of Timothy Green,Fantasy | Drama | Comedy | Family,Jennifer Garner | Joel Edgerton | Ron Livingston | Rosemarie DeWitt | CJ Adams,Peter Hedges,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",neutral,general,http://disney.go.com/disneypictures/the-odd-life-of-timothy-green/
Made of Honor,Comedy | Romance,Patrick Dempsey | Michelle Monaghan | Kevin McKidd | Chris Messina | Richmond Arquette,Paul Weiland,"Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.",neutral,relationships,
Jersey Boys,Music | Drama,Christopher Walken | Vincent Piazza | Freya Tingley | James Madio | Sean Whalen,Clint Eastwood,"From director Clint Eastwood comes the big-screen version of the Tony Award-winning musical Jersey Boys. The film tells the story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons. The story of their trials and triumphs are accompanied by the songs that influenced a generation, including “Sherry,” “Big Girls Don’t Cry,” “Walk Like a Man,” “Rag Doll,” and many more.",sad,general,
The Rainmaker,Drama | Crime | Thriller,Matt Damon | Danny DeVito | Jon Voight | Claire Danes | Mary Kay Place,Francis Ford Coppola,"When Rudy Baylor (Matt Damon), a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company (represented by a ruthless Jon Voight). But to take on corporate America, Rudy and a scrappy paralegal (Danny DeVito) must open their own law firm.",neutral,general,
Gothika,Horror | Thriller,Halle Berry | Robert Downey Jr. | Charles S. Dutton | Penélope Cruz | John Carroll Lynch,Mathieu Kassovitz,"After a car crash, a criminal psychologist (Halle Berry) comes to, only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband -- but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",sad,general,http://gothikamovie.warnerbros.com/
Amistad,Drama | History | Mystery,Morgan Freeman | Nigel Hawthorne | Anthony Hopkins | Djimon Hounsou | Matthew McConaughey,Steven Spielberg,"In 1839, the slave ship Amistad set sail from Cuba to America. During the long trip, Cinque leads the slaves in an unprecedented uprising. They are then held prisoner in Connecticut, and their release becomes the subject of heated debate. Freed slave Theodore Joadson wants Cinque and the others exonerated and recruits property lawyer Roger Baldwin to help his case. Eventually, John Quincy Adams also becomes an ally.",neutral,general,
Medicine Man,Adventure,Sean Connery | Lorraine Bracco | José Wilker | Rodolfo De Alexandre | Angelo Barra Moreira,John McTiernan,"An eccentric scientist working for a large drug company is working on a research project in the Amazon jungle. He sends for a research assistant and a gas chromatograph because he's close to a cure for cancer. When the assistant turns out to be a ""mere woman,"" he rejects her help. Meanwhile the bulldozers get closer to the area in which they are conducting research, and they eventually learn to work together, and begin falling in love.",happy,relationships,
Aliens vs Predator: Requiem,Fantasy | Action | Science Fiction | Thriller | Horror,Steven Pasquale | Reiko Aylesworth | John Ortiz | Ariel Gade | Sam Trammell,Colin Strause,"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",sad,general,http://www.avp-r.com/
Ri¢hie Ri¢h,Comedy | Family,Macaulay Culkin | John Larroquette | Edward Herrmann | Christine Ebersole | Michael Maccarone,Donald Petrie,"Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",neutral,relationships,
Autumn in New York,Drama | Romance,Richard Gere | Winona Ryder | Anthony LaPaglia | Elaine Stritch | Vera Farmiga,Joan Chen,"Autumn in New York follows the sexual exploits of Will Keane - New York restaurateur, infamous verging-on-50 playboy, master of the no-commitment seduction - until he runs into an unexpected dead end when he meets Charlotte Fielding. Charlotte is half Will's age and twice his match, a 21 year-old free spirit yearning to get out and taste the excitement of adult life.",neutral,general,
Music and Lyrics,Comedy | Music | Romance,Drew Barrymore | Hugh Grant | Scott Porter | Brad Garrett | Haley Bennett,Marc Lawrence,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",neutral,general,
Paul,Adventure | Comedy | Science Fiction,Seth Rogen | Simon Pegg | Nick Frost | Jason Bateman | Kristen Wiig,Greg Mottola,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",neutral,entertainment,http://paulthemovie.co.uk/
The Guilt Trip,Comedy,Seth Rogen | Barbra Streisand | Yvonne Strahovski | Colin Hanks | Adam Scott,Anne Fletcher,An inventor and his mom hit the road together so he can sell his latest invention.,neutral,general,
Scream 4,Horror | Mystery,David Arquette | Neve Campbell | Courteney Cox | Emma Roberts | Hayden Panettiere,Wes Craven,"Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale, who are now married, as well as her cousin Jill and her Aunt Kate. Unfortunately, Sidney's appearance also brings about the return of Ghostface, putting Sidney, Gale, and Dewey, along with Jill, her friends, and the whole town of Woodsboro in danger.",neutral,general,http://www.scream-4.com/
8MM,Thriller | Crime | Mystery,Nicolas Cage | Joaquin Phoenix | James Gandolfini | Chris Bauer | Anthony Heald,Joel Schumacher,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",sad,relationships,
The Doors,Drama | Music,Val Kilmer | Meg Ryan | Kyle MacLachlan | Frank Whaley | Kevin Dillon,Oliver Stone,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison.",neutral,general,
Sex Tape,Comedy,Cameron Diaz | Jason Segel | Rob Corddry | Ellie Kemper | Rob Lowe,Jake Kasdan,"When Jay and Annie first got together, their romantic connection was intense – but ten years and two kids later, the flame of their love needs a spark.  To kick things up a notch, they decide – why not? – to make a video of themselves trying out every position in The Joy of Sex in one marathon three-hour session.  It seems like a great idea – until they discover that their most private video is no longer private.  With their reputations on the line, they know they’re just one click away from being laid bare to the world... but as their race to reclaim their video leads to a night they'll never forget, they'll find that their video will expose even more than they bargained for.",happy,relationships,
Hanging Up,Comedy | Drama,Meg Ryan | Diane Keaton | Lisa Kudrow | Walter Matthau | Adam Arkin,Diane Keaton,"A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",sad,general,
Final Destination 5,Horror | Mystery,Emma Bell | Nicholas D'Agosto | Miles Fisher | Ellen Wroe | Jacqueline MacInnes Wood,Steven Quale,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda.",sad,entertainment,http://finaldestinationmovie.warnerbros.com/index.html
Mickey Blue Eyes,Comedy | Crime | Romance,Hugh Grant | James Caan | Jeanne Tripplehorn | Burt Young | James Fox,Kelly Makin,"An English auctioneer proposes to the daughter of a mafia kingpin, only to realize that certain ""favors"" would be asked of him.",neutral,general,
Pay It Forward,Drama | Romance,Kevin Spacey | Helen Hunt | Haley Joel Osment | Jay Mohr | Jim Caviezel,Mimi Leder,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",neutral,general,
Fever Pitch,Comedy | Drama | Romance,Drew Barrymore | Jimmy Fallon | Jason Spevack | Jack Kehler | Maureen Keiller,Bobby Farrelly,"When relaxed and charming Ben Wrightman meets workaholic Lindsey Meeks she finds him sweet and charming, they hit it off and when it is winter Ben can spend every waking hour with Lindsey, but when summer comes around the corner Lindsey discovers Ben's obsession with the Boston Red Sox. She thinks it is perfect until everything goes downhill for them.",neutral,general,
Drillbit Taylor,Comedy,Owen Wilson | Leslie Mann | Josh Peck | David Dorfman | Nate Hartley,Steven Brill,"Three kids hire a low-budget bodyguard to protect them from the playground bully, not realising he is just a homeless beggar and petty thief looking for some easy cash.",neutral,general,http://www.drillbittaylor.com/
A Million Ways to Die in the West,Comedy | Western,Seth MacFarlane | Charlize Theron | Liam Neeson | Amanda Seyfried | Neil Patrick Harris,Seth MacFarlane,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",sad,general,
The Shadow,Adventure | Fantasy | Action | Thriller | Science Fiction,Alec Baldwin | John Lone | Penelope Ann Miller | Peter Boyle | Ian McKellen,Russell Mulcahy,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",excited,general,
Extremely Loud & Incredibly Close,Drama,Thomas Horn | Tom Hanks | Sandra Bullock | Max von Sydow | John Goodman,Stephen Daldry,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.",sad,general,http://extremelyloudandincrediblyclose.warnerbros.com/
Morning Glory,Comedy | Drama | Romance,Rachel McAdams | Harrison Ford | Patrick Wilson | Jeff Goldblum | Diane Keaton,Roger Michell,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories.",neutral,general,http://www.morningglorymovie.com/
Get Rich or Die Tryin',Drama,50 Cent | Joy Bryant | Adewale Akinnuoye-Agbaje | Omar Benson Miller | Terrence Howard,Jim Sheridan,"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",sad,general,
The Art of War,Crime | Action | Adventure,Wesley Snipes | Donald Sutherland | Maury Chaykin | Anne Archer | Michael Biehn,Christian Duguay,"When ruthless terrorists threaten to bring down the United Nations, they frame the one man they believe can stop them: an international security expert named Shaw. Now he must run from his own allies and become a solitary force for good, as he tries to stop what could become World War III.",sad,general,
Rent,Drama | Romance,Anthony Rapp | Adam Pascal | Rosario Dawson | Jesse L. Martin | Wilson Jermaine Heredia,Chris Columbus,"This rock opera tells the story of one year in the life of a group of bohemians struggling in modern day East Village New York. The story centers around Mark and Roger, two roommates. While a former tragedy has made Roger numb to life, Mark tries to capture it through his attempts to make a film. In the year that follows, the group deals with love, loss, AIDS, and modern day life.",happy,relationships,http://www.sonypictures.com/movies/rent/
Bless the Child,Drama | Horror | Thriller | Crime,Kim Basinger | Angela Bettis | Holliston Coleman | Rufus Sewell | Christina Ricci,Chuck Russell,"When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children.",sad,general,
The Out-of-Towners,Comedy,Steve Martin | Goldie Hawn | John Cleese | Mark McKinney | Jessica Cauffiel,Sam Weisman,"The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview.",happy,entertainment,
The Island of Dr. Moreau,Fantasy | Horror | Science Fiction,Marlon Brando | Val Kilmer | David Thewlis | Fairuza Balk | Daniel Rigney,John Frankenheimer,A shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA with horrific results.,neutral,general,
The Musketeer,Action | Adventure | Drama,Catherine Deneuve | Mena Suvari | Stephen Rea | Tim Roth | Justin Chambers,Peter Hyams,"In Peter Hyams's adaptation of the famous Alexander Dumas story The Three Musketeers, the young D'Artagnan seeks to join the legendary musketeer brigade and avenge his father's death - but he finds that the musketeers have been disbanded.",sad,general,
The Other Boleyn Girl,Drama,Natalie Portman | Scarlett Johansson | Eric Bana | Jim Sturgess | Kristin Scott Thomas,Justin Chadwick,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII.",happy,relationships,
Sweet November,Drama | Romance,Keanu Reeves | Charlize Theron | Jason Isaacs | Greg Germann | Lauren Graham,Pat O'Connor,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.",neutral,general,
The Reaping,Horror,Hilary Swank | David Morrissey | Idris Elba | AnnaSophia Robb | Stephen Rea,Stephen Hopkins,"Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plagues overrun a small town, Katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. Instead, she must regain her faith to combat the evil that waits in a Louisiana swamp.",sad,relationships,http://www.thereapingmovie.com
Mean Streets,Drama | Crime,Harvey Keitel | Robert De Niro | David Proval | Amy Robinson | Richard Romanus,Martin Scorsese,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",happy,relationships,
Renaissance Man,Comedy | War,Danny DeVito | Mark Wahlberg | Gregory Hines | James Remar | Ed Begley Jr.,Penny Marshall,"Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class.",neutral,general,
Colombiana,Action | Thriller | Crime | Drama,Zoe Saldana | Cliff Curtis | Callum Blue | Michael Vartan | Lennie James,Olivier Megaton,"Zoe Saldana plays a young woman who, after witnessing her parents’ murder as a child in Bogota, grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.",sad,general,http://www.colombiana-movie.com/
Quest for Camelot,Fantasy | Animation | Drama | Romance | Family,Jessalyn Gilsig | Cary Elwes | Gary Oldman | Don Rickles | Jane Seymour,Frederik Du Chau,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.",neutral,self growth,
City By The Sea,Crime | Drama | Mystery,Robert De Niro | James Franco | Frances McDormand | Eliza Dushku | George Dzundza,Michael Caton-Jones,A man struggling to come to terms with the sins of his father makes the terrible discovery that his own son has fallen into a life of crime in a drama based on a true story. Vincent LaMarca is a dedicated and well-respected New York City police detective who has gone to great lengths to distance himself from his past.,sad,general,
At First Sight,Drama | Romance,Val Kilmer | Mira Sorvino | Kelly McGillis | Steven Weber | Bruce Davison,Irwin Winkler,A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.,neutral,general,
Torque,Action,Martin Henderson | Ice Cube | Monet Mazur | Adam Scott | Matt Schulze,Joseph Kahn,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford is now on the run trying to clear his name from the murder with Trey and his gang looking for his blood.",neutral,general,
City Hall,Drama | Thriller,Al Pacino | John Cusack | Bridget Fonda | Danny Aiello | Martin Landau,Harold Becker,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",neutral,general,
Showgirls,Drama,Elizabeth Berkley | Kyle MacLachlan | Gina Gershon | Glenn Plummer | Robert Davi,Paul Verhoeven,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,neutral,general,
Marie Antoinette,Drama | History,Kirsten Dunst | Jason Schwartzman | Judy Davis | Rip Torn | Rose Byrne,Sofia Coppola,"The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and ultimately the fall of Versailles.",neutral,general,http://www.sonypictures.com/homevideo/marieantoinette/index.html
Kiss of Death,Action | Crime | Drama | Thriller,David Caruso | Samuel L. Jackson | Nicolas Cage | Helen Hunt | Kathryn Erbe,Barbet Schroeder,"Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens, trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall for driving an illegal transport of stolen cars, a police officer named Calvin Hart is injured and Jimmy lands back in prison. In exchange for an early release, he is asked to help bring down a local crime boss named Little Junior Brown.  Jimmy remarries and attempts to renew a relationship with his child. But he is sent undercover by Detective Hart to work with Junior and infiltrate his operations. As soon as Little Junior kills an undercover federal agent with Jimmy watching, the unscrupulous district attorney and the feds further complicate his life. He must take down Junior or face the consequences.",sad,relationships,
Get Carter,Action | Drama | Thriller | Crime,Sylvester Stallone | Miranda Richardson | Rachael Leigh Cook | Mickey Rourke | Johnny Strong,Stephen T. Kay,"Remake of the Michael Caine classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",happy,general,
The Impossible,Thriller | Drama,Naomi Watts | Ewan McGregor | Tom Holland | Samuel Joslin | Oaklee Pendergast,Juan Antonio Bayona,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",sad,relationships,
Ishtar,Action | Adventure | Comedy,Warren Beatty | Dustin Hoffman | Isabelle Adjani | Charles Grodin | Jack Weston,Elaine May,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime",neutral,general,
Fantastic Mr. Fox,Adventure | Animation | Comedy | Family,George Clooney | Meryl Streep | Jason Schwartzman | Bill Murray | Wallace Wolodarsky,Wes Anderson,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",sad,relationships,http://www.foxsearchlight.com/fantasticmrfox/
Life or Something Like It,Comedy | Drama | Romance,Angelina Jolie | Edward Burns | Tony Shalhoub | Christian Kane | Melissa Errico,Stephen Herek,"A reporter Lanie Kerrigan interviews a psychic homeless man for a fluff piece about a football game's score. Instead he tells her that her life has no meaning and is going to end in just a few days, which sparks her to action, trying to change the pattern of her life...",excited,general,
Memoirs of an Invisible Man,Comedy | Fantasy | Science Fiction,Chevy Chase | Daryl Hannah | Sam Neill | Michael McKean | Stephen Tobolowsky,John Carpenter,"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.",excited,general,http://www.theofficialjohncarpenter.com/memoirs-of-an-invisible-man/
Amélie,Comedy | Romance,Audrey Tautou | Mathieu Kassovitz | Rufus | Jamel Debbouze | Claire Maurier,Jean-Pierre Jeunet,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",happy,relationships,http://www.die-fabelhafte-welt-der-amelie.de
New York Minute,Comedy,Ashley Olsen | Mary-Kate Olsen | Eugene Levy | Andy Richter | Riley Smith,Dennie Gordon,"Top student Jane Ryan heads to Manhattan for a college-scholarship competition. Her rebellious twin Roxy Ryan goes along to crash a video shoot. But anything can happen - and does - in a romp involving a pursuing truant officer, a smuggler, hunkalicious guys and the girls' realization that when the chips are down, a sister can be the best friend of all.",neutral,general,
Alfie,Comedy,Jude Law | Marisa Tomei | Omar Epps | Jane Krakowski | Renée Taylor,Charles Shyer,"In Manhattan, the British limousine driver Alfie is surrounded by beautiful women, having one night stands with all of them and without any sort of commitment. His best friends are his colleague Marlon and his girl-friend Lonette. Alfie has a brief affair with Lonette, and the consequences of his act forces Alfie to reflect over his lifestyle.",neutral,general,
Big Miracle,Adventure | Drama | Romance,Drew Barrymore | John Krasinski | Kristen Bell | Vinessa Shaw | Dermot Mulroney,Ken Kwapis,"Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the Arctic Circle. ‘Big Miracle’ is adapted from the nonfiction book ‘Freeing the Whales: How the Media Created the World’s Greatest Non-Event’ by Tom Rose.",neutral,general,http://www.everybodyloveswhales.com/
